vtuneCategory,threadcount,inputinfo,metric,value
tr,4,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,4,2048,Computer Name,quartz2770
tr,4,2048,Result Size,4195926
tr,4,2048,Collection start time,00:37:31 22/04/2021 UTC
tr,4,2048,Collection stop time,00:37:32 22/04/2021 UTC
tr,4,2048,Collector Type,User-mode sampling and tracing
tr,4,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,4,2048,Frequency,2095148431
tr,4,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,2048,Metric Name,Metric Value
hpc,4,2048,Elapsed Time,1.417508
hpc,4,2048,SP GFLOPS,2.539673
hpc,4,2048,DP GFLOPS,0.0
hpc,4,2048,x87 GFLOPS,0.0
hpc,4,2048,CPI Rate,0.491756
hpc,4,2048,Average CPU Frequency,3026324548.000000
hpc,4,2048,Total Thread Count,4
hpc,4,2048,Effective Physical Core Utilization,3.5% (1.245 out of 36)
hpc,4,2048,Effective Logical Core Utilization,1.7% (1.223 out of 72)
hpc,4,2048,Serial Time (outside parallel regions),1.270s (89.6%)
hpc,4,2048,Parallel Region Time,0.147s (10.4%)
hpc,4,2048,Estimated Ideal Time,0.143s (10.1%)
hpc,4,2048,OpenMP Potential Gain,0.004s (0.3%)
hpc,4,2048,Memory Bound,13.1
hpc,4,2048,Cache Bound,11.8
hpc,4,2048,DRAM Bound,0.0
hpc,4,2048,NUMA: % of Remote Accesses,0.0
hpc,4,2048,Vectorization,100.0
hpc,4,2048,SP FLOPs,11.8
hpc,4,2048,Packed,100.0
hpc,4,2048,128-bit,100.0
hpc,4,2048,256-bit,0.0
hpc,4,2048,Scalar,0.0
hpc,4,2048,DP FLOPs,0.0
hpc,4,2048,Packed,0.0
hpc,4,2048,128-bit,0.0
hpc,4,2048,256-bit,0.0
hpc,4,2048,Scalar,0.0
hpc,4,2048,x87 FLOPs,0.0
hpc,4,2048,Non-FP,88.2
hpc,4,2048,FP Arith/Mem Rd Instr. Ratio,0.445422
hpc,4,2048,FP Arith/Mem Wr Instr. Ratio,0.994997
hpc,4,2048,Application Command Line,"lud_omp ""-n"" ""4"" ""-i"" ""../../data/lud/2048.dat"""
hpc,4,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,4,2048,Computer Name,quartz2770
hpc,4,2048,Result Size,4888203
hpc,4,2048,Collection start time,00:37:46 22/04/2021 UTC
hpc,4,2048,Collection stop time,00:37:48 22/04/2021 UTC
hpc,4,2048,Collector Type,Driverless Perf per-process sampling
hpc,4,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,4,2048,Frequency,2095147764
hpc,4,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,36,256,Metric Name,Metric Value
tr,36,256,Elapsed Time,0.420750
tr,36,256,Paused Time,0.0
tr,36,256,Effective CPU Utilization,0.1% (0.048 out of 72 logical CPUs)
tr,36,256,OpenMP Analysis. Collection Time,0.420750
tr,36,256,Serial Time (outside parallel regions),0.403s (95.8%)
tr,36,256,Parallel Region Time,0.018s (4.2%)
tr,36,256,Estimated Ideal Time,0.008s (1.9%)
tr,36,256,OpenMP Potential Gain,0.010s (2.3%)
