vtuneCategory,threadcount,inputinfo,metric,value
tr,9,default,Metric Name,Metric Value
tr,9,default,Elapsed Time,0.377692
tr,9,default,Paused Time,0.0
tr,9,default,Effective CPU Utilization,0.1% (0.081 out of 72 logical CPUs)
tr,9,default,OpenMP Analysis. Collection Time,0.377692
tr,9,default,Serial Time (outside parallel regions),0.217s (57.4%)
tr,9,default,Parallel Region Time,0.161s (42.6%)
tr,9,default,Estimated Ideal Time,0.140s (37.1%)
tr,9,default,OpenMP Potential Gain,0.021s (5.5%)
tr,9,default,Total Thread Count,9
tr,9,default,Thread Oversubscription,0s (0.0% of CPU Time)
tr,9,default,Wait Time with poor CPU Utilization,0.028s (100.0% of Wait Time)
tr,9,default,Spin and Overhead Time,2.110s (98.6% of CPU Time)
tr,9,default,Application Command Line,"nn ""filelist_4"" ""5"" ""30"" ""90"""
tr,9,default,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,9,default,Computer Name,quartz835
tr,9,default,Result Size,7188796
tr,9,default,Collection start time,00:44:44 22/04/2021 UTC
tr,9,default,Collection stop time,00:44:45 22/04/2021 UTC
tr,9,default,Collector Type,User-mode sampling and tracing
tr,9,default,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,9,default,Frequency,2095146720
tr,9,default,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,default,Metric Name,Metric Value
hpc,9,default,Elapsed Time,0.197622
hpc,9,default,SP GFLOPS,0.0
hpc,9,default,DP GFLOPS,0.0
hpc,9,default,x87 GFLOPS,0.0
hpc,9,default,CPI Rate,0.913043
hpc,9,default,Average CPU Frequency,2749879758.937500
hpc,9,default,Total Thread Count,9
hpc,9,default,Effective Physical Core Utilization,7.9% (2.859 out of 36)
hpc,9,default,Effective Logical Core Utilization,1.4% (1.040 out of 72)
hpc,9,default,Serial Time (outside parallel regions),0.172s (87.0%)
hpc,9,default,Parallel Region Time,0.026s (13.0%)
hpc,9,default,Estimated Ideal Time,0.013s (6.6%)
hpc,9,default,OpenMP Potential Gain,0.013s (6.5%)
hpc,9,default,Memory Bound,22.5
hpc,9,default,Cache Bound,17.5
hpc,9,default,DRAM Bound,5.8
hpc,9,default,NUMA: % of Remote Accesses,0.0
hpc,9,default,Vectorization,0.0
hpc,9,default,SP FLOPs,0.0
hpc,9,default,Packed,0.0
hpc,9,default,128-bit,0.0
hpc,9,default,256-bit,0.0
hpc,9,default,Scalar,0.0
hpc,9,default,DP FLOPs,0.0
hpc,9,default,Packed,0.0
hpc,9,default,128-bit,0.0
hpc,9,default,256-bit,0.0
hpc,9,default,Scalar,0.0
hpc,9,default,x87 FLOPs,0.0
hpc,9,default,Non-FP,100.0
hpc,9,default,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,9,default,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,9,default,Application Command Line,"nn ""filelist_4"" ""5"" ""30"" ""90"""
hpc,9,default,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,default,Computer Name,quartz835
hpc,9,default,Result Size,7173056
hpc,9,default,Collection start time,00:44:59 22/04/2021 UTC
hpc,9,default,Collection stop time,00:45:00 22/04/2021 UTC
hpc,9,default,Collector Type,Driverless Perf per-process sampling
hpc,9,default,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,default,Frequency,2095146483
hpc,9,default,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,4,default,Metric Name,Metric Value
tr,4,default,Elapsed Time,0.302588
tr,4,default,Paused Time,0.0
tr,4,default,Effective CPU Utilization,0.1% (0.101 out of 72 logical CPUs)
tr,4,default,OpenMP Analysis. Collection Time,0.302588
tr,4,default,Serial Time (outside parallel regions),0.162s (53.4%)
tr,4,default,Parallel Region Time,0.141s (46.6%)
tr,4,default,Estimated Ideal Time,0.123s (40.7%)
tr,4,default,OpenMP Potential Gain,0.018s (5.9%)
tr,4,default,Total Thread Count,4
