vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,11,NUMA: % of Remote Accesses,0.0
hpc,36,11,Vectorization,0.0
hpc,36,11,SP FLOPs,0.0
hpc,36,11,Packed,0.0
hpc,36,11,128-bit,0.0
hpc,36,11,256-bit,0.0
hpc,36,11,Scalar,0.0
hpc,36,11,DP FLOPs,0.0
hpc,36,11,Packed,0.0
hpc,36,11,128-bit,0.0
hpc,36,11,256-bit,0.0
hpc,36,11,Scalar,0.0
hpc,36,11,x87 FLOPs,0.0
hpc,36,11,Non-FP,0.0
hpc,36,11,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,36,11,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,36,11,Application Command Line,"myocyte ""100"" ""1"" ""1"" ""36"""
hpc,36,11,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,36,11,Computer Name,quartz2391
hpc,36,11,Result Size,3317113
hpc,36,11,Collection start time,22:52:04 21/04/2021 UTC
hpc,36,11,Collection stop time,22:52:04 21/04/2021 UTC
hpc,36,11,Collector Type,Driverless Perf per-process sampling
hpc,36,11,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,36,11,Frequency,2095147146
hpc,36,11,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,11,Metric Name,Metric Value
hpc,18,11,Elapsed Time,0.024694
hpc,18,11,SP GFLOPS,0.0
hpc,18,11,DP GFLOPS,0.0
hpc,18,11,x87 GFLOPS,0.0
hpc,18,11,CPI Rate,2.000000
hpc,18,11,Average CPU Frequency,4190293970.000000
hpc,18,11,Total Thread Count,1
hpc,18,11,Effective Physical Core Utilization,0.3% (0.101 out of 36)
hpc,18,11,Effective Logical Core Utilization,0.3% (0.203 out of 72)
hpc,18,11,Memory Bound,0.0
hpc,18,11,Cache Bound,0.0
hpc,18,11,DRAM Bound,0.0
hpc,18,11,NUMA: % of Remote Accesses,0.0
hpc,18,11,Vectorization,0.0
hpc,18,11,SP FLOPs,0.0
hpc,18,11,Packed,0.0
hpc,18,11,128-bit,0.0
hpc,18,11,256-bit,0.0
hpc,18,11,Scalar,0.0
hpc,18,11,DP FLOPs,0.0
hpc,18,11,Packed,0.0
hpc,18,11,128-bit,0.0
hpc,18,11,256-bit,0.0
hpc,18,11,Scalar,0.0
hpc,18,11,x87 FLOPs,0.0
hpc,18,11,Non-FP,0.0
hpc,18,11,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,18,11,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,18,11,Application Command Line,"myocyte ""100"" ""1"" ""1"" ""18"""
