vtuneCategory,threadcount,inputinfo,metric,value
tr,4,1024,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,4,1024,Frequency,2095149053
tr,4,1024,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,1024,Metric Name,Metric Value
hpc,4,1024,Elapsed Time,0.124881
hpc,4,1024,SP GFLOPS,0.0
hpc,4,1024,DP GFLOPS,0.0
hpc,4,1024,x87 GFLOPS,0.0
hpc,4,1024,CPI Rate,1.363636
hpc,4,1024,Average CPU Frequency,2857019480.454545
hpc,4,1024,Total Thread Count,4
hpc,4,1024,Effective Physical Core Utilization,1.8% (0.662 out of 36)
hpc,4,1024,Effective Logical Core Utilization,0.6% (0.441 out of 72)
hpc,4,1024,Serial Time (outside parallel regions),0.121s (96.6%)
hpc,4,1024,Parallel Region Time,0.004s (3.4%)
hpc,4,1024,Estimated Ideal Time,0.002s (1.5%)
hpc,4,1024,OpenMP Potential Gain,0.002s (1.9%)
hpc,4,1024,Memory Bound,81.0
hpc,4,1024,Cache Bound,57.1
hpc,4,1024,DRAM Bound,57.1
hpc,4,1024,NUMA: % of Remote Accesses,0.0
hpc,4,1024,Vectorization,0.0
hpc,4,1024,SP FLOPs,0.0
hpc,4,1024,Packed,0.0
hpc,4,1024,128-bit,0.0
hpc,4,1024,256-bit,0.0
hpc,4,1024,Scalar,0.0
hpc,4,1024,DP FLOPs,0.0
hpc,4,1024,Packed,0.0
hpc,4,1024,128-bit,0.0
hpc,4,1024,256-bit,0.0
hpc,4,1024,Scalar,0.0
hpc,4,1024,x87 FLOPs,0.0
hpc,4,1024,Non-FP,100.0
hpc,4,1024,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,4,1024,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,4,1024,Application Command Line,"backprop ""1024"""
hpc,4,1024,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,4,1024,Computer Name,quartz2744
hpc,4,1024,Result Size,3609137
hpc,4,1024,Collection start time,20:47:51 21/04/2021 UTC
