vtuneCategory,threadcount,inputinfo,metric,value
tr,4,6464,Collector Type,User-mode sampling and tracing
tr,4,6464,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,4,6464,Frequency,2095147385
tr,4,6464,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,6464,Metric Name,Metric Value
hpc,4,6464,Elapsed Time,0.082942
hpc,4,6464,SP GFLOPS,0.0
hpc,4,6464,DP GFLOPS,0.0
hpc,4,6464,x87 GFLOPS,0.0
hpc,4,6464,CPI Rate,0.875000
hpc,4,6464,Average CPU Frequency,2444340050.833333
hpc,4,6464,Total Thread Count,1
hpc,4,6464,Effective Physical Core Utilization,0.5% (0.181 out of 36)
hpc,4,6464,Effective Logical Core Utilization,0.5% (0.363 out of 72)
hpc,4,6464,Memory Bound,-0.0
hpc,4,6464,Cache Bound,0.0
hpc,4,6464,DRAM Bound,0.0
hpc,4,6464,NUMA: % of Remote Accesses,0.0
hpc,4,6464,Vectorization,0.0
hpc,4,6464,SP FLOPs,0.0
hpc,4,6464,Packed,0.0
hpc,4,6464,128-bit,0.0
hpc,4,6464,256-bit,0.0
hpc,4,6464,Scalar,0.0
hpc,4,6464,DP FLOPs,0.0
hpc,4,6464,Packed,0.0
hpc,4,6464,128-bit,0.0
hpc,4,6464,256-bit,0.0
hpc,4,6464,Scalar,0.0
hpc,4,6464,x87 FLOPs,0.0
hpc,4,6464,Non-FP,100.0
hpc,4,6464,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,4,6464,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,4,6464,Application Command Line,"srad2 ""100"" ""0.5"" ""64"" ""64"" ""64"" ""64"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""4"""
