vtuneCategory,threadcount,inputinfo,metric,value
tr,9,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,9,10,Computer Name,quartz3070
tr,9,10,Result Size,3871150
tr,9,10,Collection start time,23:41:17 21/04/2021 UTC
tr,9,10,Collection stop time,23:41:18 21/04/2021 UTC
tr,9,10,Collector Type,User-mode sampling and tracing
tr,9,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,9,10,Frequency,2095148379
tr,9,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,10,Metric Name,Metric Value
hpc,9,10,Elapsed Time,0.645816
hpc,9,10,SP GFLOPS,0.0
hpc,9,10,DP GFLOPS,9.894477
hpc,9,10,x87 GFLOPS,0.0
hpc,9,10,CPI Rate,0.436747
hpc,9,10,Average CPU Frequency,2917613836.878751
hpc,9,10,Total Thread Count,9
hpc,9,10,Effective Physical Core Utilization,16.8% (6.041 out of 36)
hpc,9,10,Effective Logical Core Utilization,8.3% (5.952 out of 72)
hpc,9,10,Serial Time (outside parallel regions),0.178s (27.5%)
hpc,9,10,Parallel Region Time,0.468s (72.5%)
hpc,9,10,Estimated Ideal Time,0.425s (65.7%)
hpc,9,10,OpenMP Potential Gain,0.044s (6.8%)
hpc,9,10,Memory Bound,5.5
hpc,9,10,Cache Bound,2.2
hpc,9,10,DRAM Bound,1.5
hpc,9,10,NUMA: % of Remote Accesses,0.0
hpc,9,10,Vectorization,0.0
hpc,9,10,SP FLOPs,0.0
hpc,9,10,Packed,0.0
hpc,9,10,128-bit,0.0
hpc,9,10,256-bit,0.0
hpc,9,10,Scalar,0.0
hpc,9,10,DP FLOPs,30.5
hpc,9,10,Packed,0.0
hpc,9,10,128-bit,0.0
hpc,9,10,256-bit,0.0
hpc,9,10,Scalar,100.0
hpc,9,10,x87 FLOPs,0.0
hpc,9,10,Non-FP,69.5
hpc,9,10,FP Arith/Mem Rd Instr. Ratio,0.980635
hpc,9,10,FP Arith/Mem Wr Instr. Ratio,2.343168
hpc,9,10,Application Command Line,"lavaMD ""-cores"" ""9"" ""-boxes1d"" ""10"""
hpc,9,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,10,Computer Name,quartz3070
hpc,9,10,Result Size,5524220
hpc,9,10,Collection start time,23:41:34 21/04/2021 UTC
hpc,9,10,Collection stop time,23:41:35 21/04/2021 UTC
hpc,9,10,Collector Type,Driverless Perf per-process sampling
hpc,9,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,10,Frequency,2095148557
hpc,9,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,4,10,Metric Name,Metric Value
tr,4,10,Elapsed Time,1.472481
tr,4,10,Paused Time,0.0
tr,4,10,Effective CPU Utilization,3.3% (2.377 out of 72 logical CPUs)
tr,4,10,OpenMP Analysis. Collection Time,1.472481
tr,4,10,Serial Time (outside parallel regions),0.508s (34.5%)
tr,4,10,Parallel Region Time,0.964s (65.5%)
tr,4,10,Estimated Ideal Time,0.885s (60.1%)
tr,4,10,OpenMP Potential Gain,0.079s (5.4%)
tr,4,10,Total Thread Count,4
tr,4,10,Thread Oversubscription,0s (0.0% of CPU Time)
tr,4,10,Wait Time with poor CPU Utilization,0.011s (100.0% of Wait Time)
tr,4,10,Spin and Overhead Time,0.570s (14.4% of CPU Time)
tr,4,10,Application Command Line,"lavaMD ""-cores"" ""4"" ""-boxes1d"" ""10"""
tr,4,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,4,10,Computer Name,quartz3070
tr,4,10,Result Size,3634988
tr,4,10,Collection start time,23:41:57 21/04/2021 UTC
tr,4,10,Collection stop time,23:41:59 21/04/2021 UTC
tr,4,10,Collector Type,User-mode sampling and tracing
tr,4,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,4,10,Frequency,2095148313
tr,4,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,10,Metric Name,Metric Value
hpc,4,10,Elapsed Time,1.070251
hpc,4,10,SP GFLOPS,0.0
hpc,4,10,DP GFLOPS,6.222850
hpc,4,10,x87 GFLOPS,0.0
hpc,4,10,CPI Rate,0.432904
hpc,4,10,Average CPU Frequency,3255318872.329251
hpc,4,10,Total Thread Count,4
hpc,4,10,Effective Physical Core Utilization,9.1% (3.258 out of 36)
hpc,4,10,Effective Logical Core Utilization,4.5% (3.231 out of 72)
hpc,4,10,Serial Time (outside parallel regions),0.140s (13.0%)
hpc,4,10,Parallel Region Time,0.931s (87.0%)
hpc,4,10,Estimated Ideal Time,0.853s (79.7%)
hpc,4,10,OpenMP Potential Gain,0.077s (7.2%)
hpc,4,10,Memory Bound,6.8
hpc,4,10,Cache Bound,3.8
hpc,4,10,DRAM Bound,0.0
hpc,4,10,NUMA: % of Remote Accesses,0.0
hpc,4,10,Vectorization,0.0
hpc,4,10,SP FLOPs,0.0
hpc,4,10,Packed,0.0
hpc,4,10,128-bit,0.0
hpc,4,10,256-bit,0.0
hpc,4,10,Scalar,0.0
hpc,4,10,DP FLOPs,31.2
hpc,4,10,Packed,0.0
hpc,4,10,128-bit,0.0
hpc,4,10,256-bit,0.0
hpc,4,10,Scalar,100.0
hpc,4,10,x87 FLOPs,0.0
hpc,4,10,Non-FP,68.8
hpc,4,10,FP Arith/Mem Rd Instr. Ratio,1.018553
hpc,4,10,FP Arith/Mem Wr Instr. Ratio,2.434141
hpc,4,10,Application Command Line,"lavaMD ""-cores"" ""4"" ""-boxes1d"" ""10"""
